,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
748,Furnished,Bachelors,1950,Apartment,3,Kondapur,1,Super Area,East,1,Garden/Park,Immediately,3,29000.0,0
749,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Madinaguda,2,Carpet Area,West,1,Unknown,Immediately,2,11000.0,0
750,Semi-Furnished,Family,1800,Apartment,3,Film Nagar,2,Carpet Area,East,3,Unknown,Immediately,3,26000.0,1
751,Furnished,Bachelors/Family,3500,Apartment,4,Jubilee Hills,2,Super Area,Unknown,0,Unknown,Immediately,4,80000.0,0
752,Semi-Furnished,Bachelors/Family,1000,House,2,Krishna Nagar Moula Ali,0,Carpet Area,West,2,Garden/Park,Immediately,2,7500.0,0
753,Semi-Furnished,Bachelors/Family,6000,Villa,7,Jubilee Hills,0,Carpet Area,North-East,4,Main Road,Immediately,8,250000.0,0
754,Semi-Furnished,Family,2000,House,3,Balakrishna Nagar,1,Carpet Area,East,1,Unknown,Immediately,3,18000.0,2
755,Semi-Furnished,Bachelors/Family,240,House,1,Parvathi Nagar-Madhapur,0,Super Area,Unknown,1,Unknown,Immediately,1,10000.0,0
756,Semi-Furnished,Bachelors/Family,1050,Apartment,2,Miyapur,3,Carpet Area,Unknown,2,Unknown,Immediately,2,18000.0,0
757,Semi-Furnished,Bachelors/Family,2200,Apartment,4,Khaja Guda,6,Carpet Area,Unknown,3,Unknown,Immediately,3,55000.0,0
758,Semi-Furnished,Bachelors/Family,900,Apartment,2,thitumala hills puppalaguda manikonda,3,Carpet Area,Unknown,1,Unknown,Immediately,1,16000.0,0
759,Semi-Furnished,Bachelors/Family,375,House,1,Bharatnagar Colony ,0,Super Area,Unknown,0,Unknown,Immediately,1,6000.0,0
760,Semi-Furnished,Family,1135,Apartment,2,Kukatpally,6,Super Area,Unknown,2,Unknown,From Mar '22,2,25000.0,1
761,Semi-Furnished,Family,2400,Apartment,3,Alkapur Township,5,Carpet Area,East,2,Main Road,Immediately,3,35000.0,1
762,Furnished,Bachelors/Family,1200,Apartment,3,Sun City,1,Carpet Area,East,2,Main Road,Immediately,3,25000.0,0
763,Semi-Furnished,Bachelors/Family,1100,Apartment,2,Manikonda,4,Carpet Area,East,3,Unknown,Immediately,2,19000.0,0
764,Unfurnished,Bachelors/Family,700,Apartment,2,Ram Bagh Colony,0,Carpet Area,East,1,Main Road,Immediately,2,10000.0,0
765,Semi-Furnished,Bachelors/Family,1042,Apartment,2,Ameenpur,3,Carpet Area,East,2,Unknown,Immediately,2,9000.0,0
