,Furnished_Type,Tenants_Preferred,Sqft,Property_type,BHK,Location,Floor,Area_type,Facing,Balcony,Overlooking,Availability,Bathroom,Monthly_Charges,car_parking
33,Semi-Furnished,Bachelors/Family,2600,Apartment,3,Kokapet,14,Carpet Area,West,3,Garden/Park,Immediately,4,55000.0,2
34,Semi-Furnished,Family,1400,Apartment,3,Mallapur,1,Carpet Area,East,1,Main Road,Immediately,2,26000.0,1
35,Semi-Furnished,Family,2800,House,4,Pragathi Nagar,0,Carpet Area,North-East,1,Main Road,Immediately,4,29500.0,1
36,Unfurnished,Bachelors/Family,950,Apartment,2,Saidabad Colony,2,Super Area,East,1,Unknown,Immediately,2,9500.0,1
37,Unfurnished,Family,1280,Apartment,3,Bandam Kommu,1,Carpet Area,West,1,Garden/Park,Immediately,3,30000.0,2
38,Unfurnished,Bachelors,2200,Apartment,3,DD Colony,2,Carpet Area,North,3,Garden/Park,Immediately,3,27000.0,0
39,Semi-Furnished,Bachelors/Family,1000,Apartment,3,Balanagar,2,Carpet Area,East,2,Main Road,Immediately,2,10500.0,1
40,Furnished,Bachelors/Family,2400,House,3,Kachiguda,1,Super Area,North-East,3,Main Road,Immediately,3,32000.0,1
41,Unfurnished,Bachelors,1000,House,2,Chilka Nagar,0,Carpet Area,North-East,4,Unknown,Immediately,2,7500.0,0
42,Semi-Furnished,Bachelors/Family,2750,Apartment,3,Kokapet,2,Carpet Area,Unknown,3,Unknown,Immediately,4,45000.0,0
43,Unfurnished,Bachelors/Family,1450,Apartment,4,Serilingampally,3,Carpet Area,East,2,Unknown,Immediately,4,22000.0,0
44,Semi-Furnished,Family,900,Apartment,2,Masab Tank,1,Carpet Area,East,1,Main Road,Immediately,2,13000.0,1
45,Semi-Furnished,Bachelors/Family,1050,House,2,Rampally,0,Carpet Area,East,2,Main Road,Immediately,2,7500.0,0
46,Semi-Furnished,Family,800,Apartment,2,Lakdikapul,1,Carpet Area,South-East,1,Garden/Park,Immediately,2,13000.0,1
47,Semi-Furnished,Family,3380,Apartment,4,Narsingi,11,Super Area,West,2,Garden/Park,Immediately,4,65000.0,2
48,Semi-Furnished,Bachelors/Family,2410,Apartment,3,Gachibowli,9,Super Area,West,2,Garden/Park,Immediately,3,45000.0,2
49,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Himayath Nagar,2,Carpet Area,North,0,Main Road,Immediately,2,20000.0,1
50,Semi-Furnished,Bachelors/Family,4500,House,4,Jubilee Hills,0,Carpet Area,North,4,Garden/Park,Immediately,6,250000.0,5
51,Semi-Furnished,Family,2395,Apartment,3,Phase 2,3,Carpet Area,West,1,Garden/Park,Immediately,3,90000.0,2
52,Unfurnished,Bachelors,3000,Apartment,3,Film Nagar,3,Carpet Area,East,3,Garden/Park,Immediately,3,90000.0,0
53,Unfurnished,Family,3545,Apartment,3,Banjara Hills,0,Carpet Area,West,1,Garden/Park,Immediately,4,180000.0,0
54,Furnished,Family,1500,Apartment,3,Chandanagar,10,Carpet Area,East,3,Garden/Park,Immediately,3,28000.0,1
55,Semi-Furnished,Bachelors,1590,Apartment,3,Kondapur,1,Super Area,North,1,Pool,Immediately,3,35000.0,0
56,Unfurnished,Bachelors/Family,1200,House,2,Saroornagar,1,Carpet Area,East,1,Unknown,Immediately,2,10500.0,0
57,Semi-Furnished,Bachelors,1435,Apartment,3,Narsingi,2,Carpet Area,North,2,Main Road,Immediately,3,21000.0,0
58,Semi-Furnished,Bachelors/Family,1625,Apartment,3,Miyapur,4,Carpet Area,East,2,Main Road,Immediately,2,24000.0,0
59,Unfurnished,Bachelors/Family,500,Apartment,1,Asif Nagar,3,Carpet Area,East,1,Unknown,Immediately,1,8500.0,1
60,Unfurnished,Family,1150,Apartment,3,Manikonda,3,Carpet Area,South-East,1,Garden/Park,Immediately,3,18000.0,0
61,Furnished,Bachelors/Family,3045,Apartment,4,Kokapet,1,Carpet Area,East,0,Unknown,Immediately,4,70000.0,0
62,Semi-Furnished,Bachelors/Family,1520,Apartment,3,Kokapet,1,Carpet Area,East,2,Garden/Park,Immediately,3,27000.0,1
63,Unfurnished,Bachelors/Family,1500,House,2,Ramchandrapuram Mandal,2,Carpet Area,East,2,Main Road,Immediately,2,13000.0,0
64,Unfurnished,Bachelors/Family,1645,Apartment,3,Financial District,5,Carpet Area,East,1,Garden/Park,Immediately,3,36000.0,2
65,Furnished,Bachelors,3600,Apartment,4,Kondapur,9,Super Area,West,2,Garden/Park,Immediately,4,65000.0,2
66,Furnished,Family,3395,Apartment,3,Gachibowli,5,Carpet Area,West,3,Garden/Park,Immediately,4,80000.0,2
67,Unfurnished,Bachelors,4200,Apartment,4,Gachibowli,10,Super Area,East,2,Garden/Park,Immediately,4,130000.0,0
68,Unfurnished,Family,1275,Apartment,2,Nanakram Guda,17,Carpet Area,East,1,Garden/Park,Immediately,2,30000.0,1
69,Semi-Furnished,Family,1500,Apartment,3,Hitech City,3,Carpet Area,East,1,Garden/Park,Immediately,3,35000.0,1
70,Unfurnished,Bachelors,2250,Apartment,3,Madhapur,3,Super Area,West,2,Pool,Immediately,3,40000.0,0
71,Semi-Furnished,Family,2595,Apartment,3,Hitech City,20,Super Area,West,1,Garden/Park,Immediately,3,100000.0,2
72,Unfurnished,Bachelors,900,Apartment,2,Gachibowli,6,Carpet Area,South,1,Garden/Park,Immediately,2,35000.0,0
73,Furnished,Bachelors/Family,11000,Unknown,0,Kondapur,4,Super Area,East,11,Main Road,Immediately,11,540000.0,8
74,Semi-Furnished,Bachelors,1300,Apartment,3,Chandanagar,4,Carpet Area,East,3,Garden/Park,Immediately,3,25000.0,1
75,Unfurnished,Bachelors/Family,800,House,2,Vanasthalipuram,1,Super Area,Unknown,1,Unknown,Immediately,2,8000.0,0
76,Unfurnished,Bachelors/Family,2000,House,2,Uppal Metro,0,Super Area,Unknown,0,Unknown,Immediately,2,10000.0,0
77,Semi-Furnished,Bachelors/Family,1200,Apartment,3,Anandbagh,5,Carpet Area,Unknown,2,Unknown,From Mar '22,2,16000.0,0
78,Unfurnished,Bachelors,1350,Apartment,3,Chikkadpally,2,Carpet Area,North-East,1,Unknown,Immediately,2,30000.0,0
79,Unfurnished,Bachelors,1600,Apartment,3,Kondapur,5,Carpet Area,North-East,2,Main Road,Immediately,3,22500.0,0
80,Semi-Furnished,Bachelors,1100,Apartment,2,Kondapur,2,Carpet Area,East,2,Main Road,Immediately,2,16000.0,0
81,Furnished,Family,1100,Apartment,2,Appa junction,16,Carpet Area,West,1,Garden/Park,Immediately,2,22500.0,1
82,Semi-Furnished,Bachelors,540,Apartment,1,Kondapur,1,Carpet Area,North,1,Main Road,Immediately,1,10000.0,0
83,Semi-Furnished,Bachelors,5000,Villa,4,Gandipet,0,Carpet Area,West,2,Garden/Park,Immediately,5,300000.0,0
84,Furnished,Bachelors,2490,Apartment,3,Gachibowli,2,Super Area,West,2,Garden/Park,Immediately,3,55000.0,0
85,Semi-Furnished,Family,1000,Apartment,2,Madhura Nagar,5,Carpet Area,East,1,Main Road,Immediately,2,19000.0,1
86,Semi-Furnished,Bachelors,1150,Apartment,2,Begumpet,3,Carpet Area,East,2,Main Road,Immediately,2,16000.0,0
87,Semi-Furnished,Family,2500,Apartment,3,Nanakaramguda,2,Carpet Area,West,2,Garden/Park,Immediately,3,44000.0,2
88,Semi-Furnished,Family,2136,Apartment,4,Gachibowli,7,Carpet Area,North-East,3,Garden/Park,Immediately,4,70000.0,2
89,Semi-Furnished,Family,3925,Villa,4,Nalagandla,0,Super Area,Unknown,4,Unknown,Immediately,4,80000.0,0
90,Furnished,Bachelors/Family,2350,Apartment,4,Khaja Guda,4,Carpet Area,East,2,Garden/Park,Immediately,4,55600.0,2
91,Furnished,Bachelors,750,Apartment,1,Kondapur,3,Carpet Area,East,1,Garden/Park,Immediately,1,13500.0,0
92,Unfurnished,Bachelors/Family,2500,Apartment,3,Punjagutta,2,Super Area,East,3,Main Road,Immediately,3,60000.0,1
93,Semi-Furnished,Family,3900,Apartment,4,Hitech City,24,Carpet Area,East,2,Garden/Park,Immediately,5,170000.0,3
94,Furnished,Family,1490,Apartment,3,Hafeezpet,4,Super Area,East,1,Garden/Park,Immediately,3,26000.0,2
95,Furnished,Bachelors,1283,Apartment,2,Gachibowli,0,Super Area,East,1,Garden/Park,Immediately,2,40000.0,0
96,Semi-Furnished,Bachelors/Family,1750,Apartment,3,Gajularamaram,1,Carpet Area,Unknown,1,Unknown,From Mar '22,3,17000.0,0
97,Furnished,Bachelors/Family,1214,Apartment,2,Ameerpet,5,Carpet Area,West,2,Unknown,Immediately,2,25000.0,0
98,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Nanakram Guda,3,Carpet Area,West,2,Unknown,Immediately,3,33000.0,1
99,Semi-Furnished,Family,1500,Apartment,3,Chandanagar,3,Carpet Area,East,2,Garden/Park,Immediately,3,23000.0,1
100,Unfurnished,Bachelors,700,Apartment,2,Beeramguda,1,Carpet Area,North-East,1,Unknown,Immediately,1,12500.0,0
101,Semi-Furnished,Bachelors/Family,1025,Apartment,2,Moosapet,4,Carpet Area,South-East,1,Unknown,Immediately,2,15000.0,0
102,Furnished,Bachelors/Family,1121,Apartment,2,Sainikpuri,4,Carpet Area,East,2,Unknown,Immediately,2,30000.0,1
103,Semi-Furnished,Bachelors/Family,2890,Apartment,3,The Founta,5,Super Area,East,2,Garden/Park,Immediately,3,44000.0,0
104,Semi-Furnished,Bachelors,800,House,2,Sainikpuri,0,Carpet Area,East,1,Main Road,Immediately,1,13000.0,0
105,Semi-Furnished,Bachelors,1300,Apartment,3,Saleem Nagar,2,Carpet Area,North-East,2,Garden/Park,Immediately,3,27000.0,0
106,Unknown,Bachelors/Family,2000,Unknown,0,Banjara Hills,0,Super Area,Unknown,0,Unknown,Immediately,0,35000.0,0
107,Unfurnished,Bachelors/Family,1200,Apartment,3,Gachibowli,5,Carpet Area,East,1,Main Road,Immediately,3,36000.0,0
108,Semi-Furnished,Bachelors/Family,2400,Apartment,3,Banjara Hills,5,Super Area,Unknown,0,Unknown,Immediately,2,47000.0,0
109,Unfurnished,Bachelors/Family,2000,House,3,MIG Phase II,0,Super Area,East,0,Main Road,Immediately,2,18000.0,2
110,Semi-Furnished,Family,1040,Apartment,2,Gandhi Nagar-Boiguda,1,Super Area,East,2,Unknown,Immediately,2,18000.0,1
111,Semi-Furnished,Family,1290,Apartment,3,Ameerpet,1,Carpet Area,South-East,1,Main Road,Immediately,3,22500.0,2
112,Semi-Furnished,Bachelors/Family,850,Apartment,2,Hyderguda,1,Super Area,Unknown,0,Unknown,Immediately,2,18000.0,0
113,Unfurnished,Bachelors,1850,House,3,Salar Jung Colony,1,Carpet Area,North-East,3,Unknown,Immediately,2,16000.0,2
114,Semi-Furnished,Bachelors,1120,Apartment,2,Kondapur,1,Carpet Area,North,1,Main Road,Immediately,2,15000.0,0
115,Semi-Furnished,Bachelors/Family,1000,Apartment,2,Musheerabad,4,Carpet Area,Unknown,1,Unknown,Immediately,2,15000.0,0
116,Semi-Furnished,Bachelors/Family,1840,Apartment,3,Puppalaguda,1,Super Area,Unknown,3,Unknown,Immediately,3,22000.0,2
117,Furnished,Bachelors/Family,2200,Apartment,3,P Janardhan Reddy Nagar,4,Super Area,West,0,Main Road,Immediately,3,26000.0,1
118,Unfurnished,Bachelors/Family,2200,Villa,2,Mohan Nagar,0,Carpet Area,East,0,Unknown,Immediately,2,12000.0,1
119,Furnished,Family,3050,Apartment,4,DD Colony,2,Carpet Area,North-East,1,Main Road,Immediately,4,28000000.0,2
120,Semi-Furnished,Bachelors/Family,16000,Apartment,11,Osmangunj,3,Carpet Area,East,5,Main Road,Immediately,11,430000.0,2
121,Semi-Furnished,Family,1800,Apartment,3,Kukatpally,12,Super Area,West,0,Unknown,Immediately,3,42000.0,2
122,Semi-Furnished,Bachelors/Family,2417,Apartment,3,Kondapur,2,Super Area,Unknown,1,Unknown,Immediately,3,47000.0,2
123,Semi-Furnished,Bachelors/Family,1100,Apartment,2,Narsingi,3,Carpet Area,East,2,Garden/Park,From Mar '22,2,15000.0,1
124,Semi-Furnished,Bachelors/Family,400,Villa,4,Gandipet,0,Carpet Area,Unknown,2,Unknown,From Mar '22,4,70000.0,0
125,Semi-Furnished,Bachelors,80,House,1,Sanath Nagar,2,Carpet Area,East,1,Main Road,Immediately,2,10000.0,0
126,Semi-Furnished,Bachelors,4000,Villa,4,Kismatpur,0,Carpet Area,West,3,Garden/Park,Immediately,5,100000.0,0
127,Furnished,Bachelors/Family,2018,Apartment,3,Gachibowli,25,Super Area,North,3,Unknown,Immediately,3,45000.0,2
128,Unfurnished,Bachelors,6050,Villa,5,Kokapet,0,Carpet Area,East,5,Garden/Park,Immediately,6,150000.0,0
129,Unfurnished,Bachelors,1650,Apartment,3,Uppal,5,Carpet Area,North,1,Unknown,Immediately,3,20000.0,0
130,Semi-Furnished,Bachelors/Family,600,Apartment,10,Bagh Ameer,3,Carpet Area,East,4,Main Road,Immediately,9,400000.0,0
131,Furnished,Bachelors/Family,1700,Apartment,3,Kothaguda,4,Carpet Area,East,2,Garden/Park,Immediately,3,45000.0,2
132,Semi-Furnished,Bachelors,4200,House,6,Bhagya Nagar Colony,2,Carpet Area,North,1,Garden/Park,Immediately,2,80000.0,0
133,Unfurnished,Bachelors/Family,250,Unknown,0,Aminpur,2,Super Area,Unknown,0,Unknown,Immediately,1,4500.0,0
134,Semi-Furnished,Bachelors/Family,500,House,1,Kavadiguda,0,Super Area,Unknown,0,Unknown,Immediately,2,9500.0,0
135,Furnished,Bachelors/Family,1450,Apartment,3,crystal heights,6,Carpet Area,Unknown,1,Unknown,Immediately,3,35000.0,0
136,Furnished,Bachelors/Family,2700,Apartment,3,Kokapet,15,Carpet Area,West,2,Garden/Park,Immediately,4,44000.0,2
137,Semi-Furnished,Family,1510,Apartment,3,Madinaguda,4,Carpet Area,East,1,Main Road,Immediately,3,25000.0,1
138,Unfurnished,Bachelors,800,Apartment,2,Dammaiguda,2,Carpet Area,West,1,Unknown,Immediately,2,6500.0,0
139,Unfurnished,Bachelors,1200,House,2,Ismailkhanguda,0,Carpet Area,West,1,Unknown,Immediately,2,7000.0,0
140,Semi-Furnished,Bachelors/Family,1370,Apartment,3,Miyapur,4,Carpet Area,North-West,2,Main Road,Immediately,2,22000.0,0
141,Semi-Furnished,Bachelors/Family,2700,House,4,Dandamudi Enclave,0,Carpet Area,East,1,Main Road,Immediately,3,32000.0,1
142,Semi-Furnished,Bachelors/Family,1528,Apartment,3,Appa junction,10,Carpet Area,West,1,Garden/Park,Immediately,3,30000.0,1
143,Furnished,Bachelors/Family,1825,Apartment,3,Kothur,3,Super Area,Unknown,1,Garden/Park,Immediately,3,40000.0,2
144,Unfurnished,Bachelors,1040,Villa,2,Bhavanipuram,0,Super Area,West,0,Unknown,Immediately,2,9000.0,0
145,Furnished,Family,1550,House,2,Bandlaguda Jagir,2,Super Area,West,3,Main Road,Immediately,2,14500.0,3
146,Semi-Furnished,Bachelors/Family,2200,House,2,Narapally,0,Carpet Area,North,1,Main Road,Immediately,2,12000.0,0
147,Unfurnished,Bachelors/Family,700,Apartment,1,Barkatpura,1,Carpet Area,Unknown,1,Unknown,Immediately,1,10000.0,0
148,Unfurnished,Bachelors,4000,Villa,4,Gandipet,0,Super Area,East,1,Main Road,Immediately,5,280000.0,0
149,Unfurnished,Bachelors,1875,Apartment,3,Kondapur,6,Carpet Area,East,2,Garden/Park,Immediately,3,36000.0,0
150,Unfurnished,Bachelors,1500,House,3,Rampally,1,Carpet Area,West,1,Garden/Park,Immediately,3,10000.0,0
151,Furnished,Bachelors/Family,1100,Apartment,3,Kothaguda,1,Carpet Area,East,1,Unknown,Immediately,3,30000.0,0
152,Furnished,Bachelors/Family,900,Apartment,1,Appa junction,5,Carpet Area,North-East,1,Garden/Park,Immediately,1,15000.0,1
153,Semi-Furnished,Bachelors/Family,5200,Villa,5,Trimulgherry,0,Super Area,East,2,Garden/Park,Immediately,5,80000.0,2
154,Unfurnished,Family,1000,Apartment,2,Moti Nagar,3,Carpet Area,North-East,2,Main Road,Immediately,2,15000.0,0
155,Furnished,Bachelors/Family,928,Apartment,2,Rajendra Nagar,9,Super Area,East,0,Garden/Park,Immediately,2,20000.0,0
156,Semi-Furnished,Bachelors,1100,House,3,Deendayal Nagar Neredmet Hyderabad,0,Carpet Area,South,2,Unknown,Immediately,3,15000.0,0
157,Unfurnished,Bachelors/Family,3872,Villa,4,Gopanapalli,0,Carpet Area,East,3,Garden/Park,Immediately,4,80000.0,2
158,Semi-Furnished,Bachelors/Family,5800,House,3,Jubilee Hills,3,Carpet Area,West,2,Garden/Park,Immediately,3,130000.0,0
159,Furnished,Bachelors/Family,1500,Apartment,3,Kothaguda,4,Carpet Area,Unknown,2,Unknown,Immediately,3,35000.0,4
160,Unfurnished,Bachelors/Family,1200,House,2,Krishna Reddy Pet,1,Super Area,East,0,Unknown,Immediately,2,7500.0,1
161,Furnished,Bachelors,2300,Apartment,3,Alkapur Township,5,Carpet Area,East,2,Main Road,Immediately,3,40000.0,0
162,Furnished,Bachelors/Family,1950,Apartment,3,Srinagar Colony,3,Carpet Area,South-East,3,Main Road,From Apr '22,3,50000.0,1
163,Unknown,Bachelors/Family,2275,Apartment,3,Kondapur,0,Super Area,West,0,Unknown,Immediately,0,60208.0,0
164,Semi-Furnished,Bachelors,2080,Apartment,3,financial district Gachibowli,5,Carpet Area,West,3,Garden/Park,Immediately,5,55000.0,0
165,Semi-Furnished,Bachelors,2430,Apartment,3,Gachibowli,7,Super Area,West,2,Garden/Park,Immediately,3,55000.0,1
166,Unfurnished,Bachelors,1460,Apartment,3,Boiguda,4,Carpet Area,North,1,Main Road,Immediately,3,23000.0,0
167,Semi-Furnished,Bachelors,1300,Apartment,2,Shilpa Avenue Colony,1,Carpet Area,East,1,Garden/Park,Immediately,2,20000.0,0
168,Semi-Furnished,Bachelors,950,Apartment,2,Serilingampally,0,Carpet Area,East,0,Main Road,Immediately,2,20000.0,1
169,Semi-Furnished,Family,2150,Apartment,3,Tellapur,13,Super Area,East,0,Garden/Park,Immediately,3,25000.0,1
170,Unfurnished,Bachelors/Family,800,Apartment,2,Ram nagar,1,Super Area,Unknown,0,Unknown,Immediately,2,12000.0,0
171,Unfurnished,Bachelors/Family,1400,Apartment,3,Medipally,2,Carpet Area,South,1,Garden/Park,Immediately,2,22000.0,0
172,Furnished,Bachelors/Family,1920,Apartment,3,Adarsh Nagar,1,Carpet Area,Unknown,2,Unknown,Immediately,3,35000.0,0
173,Semi-Furnished,Bachelors,800,Apartment,2,Balanagar,1,Carpet Area,Unknown,1,Main Road,Immediately,2,16000.0,0
174,Semi-Furnished,Bachelors/Family,1800,House,3,Budwel,1,Super Area,Unknown,0,Unknown,Immediately,3,17000.0,0
175,Unfurnished,Bachelors,1650,Apartment,3,Kokapet,1,Carpet Area,East,1,Garden/Park,Immediately,3,35000.0,0
176,Semi-Furnished,Bachelors/Family,1450,House,3,Lalitha Nagar-Adikmet,1,Carpet Area,North-East,2,Main Road,Immediately,3,16000.0,0
177,Semi-Furnished,Bachelors/Family,1100,Apartment,2,Masjid Banda,5,Carpet Area,West,1,Main Road,Immediately,2,20000.0,1
178,Semi-Furnished,Bachelors/Family,1600,House,3,Hastinapuram,3,Carpet Area,East,3,Unknown,Immediately,3,21500.0,0
179,Semi-Furnished,Bachelors/Family,750,Apartment,2,Hayat Nagar,3,Carpet Area,East,1,Garden/Park,Immediately,2,9000.0,1
180,Furnished,Bachelors/Family,1300,Apartment,3,Fort View,0,Carpet Area,West,2,Main Road,Immediately,3,32000.0,0
181,Semi-Furnished,Bachelors/Family,1200,Apartment,3,Musheerabad,1,Carpet Area,East,3,Main Road,Immediately,3,22000.0,1
182,Unfurnished,Bachelors,1500,Apartment,4,Manikonda,5,Carpet Area,West,2,Garden/Park,Immediately,3,24000.0,0
183,Semi-Furnished,Bachelors/Family,1600,House,2,BHEL Employees Co-operative Housing Society,0,Carpet Area,East,0,Unknown,Immediately,2,16000.0,0
184,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Madinaguda,1,Carpet Area,East,2,Main Road,Immediately,3,28000.0,0
185,Semi-Furnished,Bachelors/Family,1000,House,2,Gajularamaram,0,Carpet Area,Unknown,1,Unknown,Immediately,2,9500.0,0
186,Furnished,Bachelors/Family,1300,Apartment,2,Dwarakapuri,3,Super Area,East,1,Unknown,Immediately,2,26000.0,0
187,Semi-Furnished,Bachelors/Family,700,House,1,Gokul Nagar-Tarnaka,1,Carpet Area,West,1,Garden/Park,Immediately,1,17000.0,1
188,Furnished,Bachelors/Family,3006,Apartment,3,Banjara Hills,4,Carpet Area,East,0,Main Road,Immediately,4,110000.00000000001,2
189,Semi-Furnished,Bachelors/Family,2100,Apartment,3,Banjara Hills,4,Carpet Area,West,2,Main Road,Immediately,3,45000.0,1
190,Semi-Furnished,Bachelors,1575,Apartment,3,Mehdipatnam,2,Carpet Area,East,1,Unknown,Immediately,3,25000.0,0
191,Unfurnished,Bachelors/Family,2100,Apartment,3,Madhapur,3,Carpet Area,West,1,Garden/Park,Immediately,3,70000.0,0
192,Unfurnished,Family,750,Apartment,2,Madinaguda,1,Carpet Area,West,1,Main Road,Immediately,2,14000.0,1
193,Semi-Furnished,Bachelors,1000,Apartment,2,Chanda Nagar,4,Carpet Area,East,1,Main Road,Immediately,2,16000.0,0
194,Semi-Furnished,Bachelors/Family,2000,Apartment,3,Narayanguda,1,Carpet Area,East,2,Garden/Park,Immediately,3,45000.0,2
195,Semi-Furnished,Bachelors/Family,1600,Apartment,2,Banjara Hills,4,Carpet Area,East,1,Garden/Park,Immediately,2,35000.0,1
196,Semi-Furnished,Family,3315,Apartment,3,Jubilee Hills,3,Super Area,East,1,Main Road,Immediately,3,80000.0,2
197,Semi-Furnished,Bachelors/Family,950,House,2,Bandlaguda Jagir,0,Carpet Area,East,1,Main Road,Immediately,2,10000.0,0
198,Semi-Furnished,Bachelors/Family,1825,Apartment,3,Kondapur,4,Super Area,West,1,Garden/Park,Immediately,3,35000.0,1
199,Unfurnished,Family,750,Apartment,2,Serilingampally,3,Carpet Area,North,1,Unknown,Immediately,2,8000.0,0
200,Semi-Furnished,Family,1844,Apartment,3,Whitefields,14,Super Area,West,1,Unknown,Immediately,2,45000.0,2
201,Semi-Furnished,Bachelors/Family,1250,Apartment,2,Nallagandla,1,Carpet Area,West,2,Garden/Park,Immediately,2,21000.0,1
202,Semi-Furnished,Family,1100,Apartment,2,Serilingampally,1,Super Area,East,0,Main Road,Immediately,2,13500.0,1
203,Semi-Furnished,Family,1584,Apartment,3,Appa junction,14,Super Area,East,3,Garden/Park,Immediately,3,29000.0,9
204,Unfurnished,Bachelors/Family,800,Apartment,1,Peeramcheru,2,Carpet Area,East,2,Main Road,Immediately,1,9000.0,0
205,Furnished,Family,4800,Apartment,4,Silpa Park,3,Super Area,North-East,4,Unknown,Immediately,4,70000.0,1
206,Semi-Furnished,Family,1833,Apartment,3,Gajularamaram,5,Carpet Area,East,2,Main Road,Immediately,3,18000.0,1
207,Furnished,Family,1800,House,2,Osman Nagar,0,Super Area,West,1,Garden/Park,Immediately,2,12000.0,1
208,Unfurnished,Bachelors,1000,Apartment,2,neha residency bachupalli,3,Carpet Area,East,1,Garden/Park,Immediately,2,11000.0,0
209,Semi-Furnished,Family,1858,Apartment,3,Lanco Hills,5,Carpet Area,West,2,Garden/Park,Immediately,3,25000.0,0
210,Unfurnished,Bachelors,4320,Apartment,4,Hitech City,7,Carpet Area,West,2,Garden/Park,Immediately,6,200000.0,0
211,Semi-Furnished,Bachelors/Family,1550,House,2,Vanasthalipuram,0,Carpet Area,East,1,Garden/Park,Immediately,3,22000.0,1
212,Furnished,Bachelors/Family,1080,Apartment,2,K P H B Phase 1,2,Carpet Area,South,1,Garden/Park,Immediately,2,19000.0,1
213,Unfurnished,Bachelors,1000,Apartment,2,Upperpally,3,Carpet Area,East,1,Unknown,Immediately,2,15000.0,0
214,Unfurnished,Bachelors/Family,1000,House,2,Jubilee Hills,0,Super Area,Unknown,0,Unknown,Immediately,2,16000.0,0
215,Semi-Furnished,Bachelors,192,Villa,4,Ghatkesar,0,Carpet Area,East,2,Garden/Park,Immediately,3,15000.0,0
216,Semi-Furnished,Family,1460,Apartment,3,Gachibowli,4,Carpet Area,West,3,Garden/Park,Immediately,3,32000.0,1
217,Unfurnished,Bachelors,110,House,2,Tolichowki,1,Carpet Area,Unknown,1,Unknown,Immediately,2,9000.0,0
218,Semi-Furnished,Bachelors/Family,1200,Apartment,2,Attapur,8,Carpet Area,Unknown,2,Garden/Park,Immediately,2,20000.0,1
219,Semi-Furnished,Bachelors/Family,1500,Apartment,3,Whitefields,4,Super Area,West,2,Unknown,Immediately,2,17000.0,0
220,Semi-Furnished,Bachelors/Family,1260,Apartment,2,Begumpet,1,Carpet Area,Unknown,2,Unknown,Immediately,2,25000.0,0
221,Furnished,Bachelors/Family,1800,Apartment,3,Anjaiah Nagar,5,Super Area,Unknown,0,Unknown,Immediately,3,23000.0,0
222,Unfurnished,Family,1241,Apartment,2,Kapra,4,Super Area,South,1,Main Road,Immediately,2,13000.0,1
223,Semi-Furnished,Family,1250,Apartment,3,Huda Colony-Mehdipatnam,1,Carpet Area,East,2,Unknown,Immediately,2,25000.0,1
224,Furnished,Bachelors/Family,960,Apartment,2,Himayath Nagar,4,Carpet Area,North,2,Unknown,Immediately,2,25000.0,2
225,Semi-Furnished,Bachelors/Family,1465,Apartment,3,Hafeezpet,10,Carpet Area,Unknown,1,Unknown,Immediately,2,25000.0,0
226,Semi-Furnished,Family,1663,Apartment,3,Miyapur,3,Super Area,West,2,Garden/Park,Immediately,3,30000.0,1
227,Semi-Furnished,Family,2630,Apartment,4,Narsingi,7,Carpet Area,West,2,Main Road,Immediately,5,60000.0,2
228,Unfurnished,Bachelors/Family,3975,Villa,4,Manchirevula,0,Carpet Area,East,1,Garden/Park,Immediately,6,130000.0,0
229,Semi-Furnished,Bachelors/Family,1850,Apartment,3,Kondapur,2,Super Area,Unknown,0,Unknown,Immediately,2,28000.0,0
230,Unfurnished,Bachelors,850,House,2,Raghavendra Colony,2,Carpet Area,West,1,Unknown,Immediately,2,8000.0,0
231,Unfurnished,Bachelors,815,Apartment,2,Beeramguda,4,Carpet Area,North-East,2,Main Road,Immediately,2,8000.0,0
232,Furnished,Bachelors,600,Apartment,1,Indira Nagar-Gachibowli,1,Carpet Area,East,1,Main Road,Immediately,1,18000.0,5
233,Semi-Furnished,Family,2200,House,3,Muppas Panchavati Colony,2,Carpet Area,North-West,3,Unknown,From Mar '22,3,27500.0,1
234,Semi-Furnished,Bachelors/Family,1150,Apartment,2,Miyapur,4,Super Area,East,1,Main Road,Immediately,2,15000.0,1
235,Unfurnished,Family,1000,Apartment,2,Chandanagar,4,Carpet Area,East,2,Main Road,Immediately,2,14000.0,0
236,Unfurnished,Bachelors/Family,1400,House,1,P S Rao Nagar,1,Carpet Area,North-East,0,Main Road,Immediately,2,7000.0,1
237,Semi-Furnished,Bachelors/Family,2410,Apartment,3,Gachibowli,4,Super Area,East,3,Garden/Park,Immediately,3,45000.0,2
238,Semi-Furnished,Family,135,House,2,Hyderabad,1,Super Area,East,0,Unknown,Immediately,3,10000.0,1
239,Furnished,Family,2400,Apartment,3,Kokapet,4,Carpet Area,West,3,Garden/Park,Immediately,4,43000.0,0
240,Semi-Furnished,Family,1100,Apartment,2,Lingampally-Serilingampally,2,Carpet Area,East,2,Garden/Park,Immediately,2,18500.0,1
241,Semi-Furnished,Bachelors,450,Apartment,1,Bowenpally,6,Carpet Area,Unknown,1,Unknown,From Mar '22,1,12000.0,0
