,Title,Amenities,Amount
209,3 BHK Apartment for Rent in Lanco Hills,"FurnishingSemi-FurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area1858 sqftFloor5 out of 5facingWestoverlookingGarden/Park, PoolBathroom3Balcony2","₹25,000"
210,4 BHK Apartment for Rent in Hitech City,"FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area4320 sqftFloor7 out of 15facingWestoverlookingGarden/Park, Pool, Main RoadBathroom6Balcony2",₹2 Lac
211,"2 BHK House for Rent in Vanasthalipuram, NH 9","FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1550 sqftFloorGround out of 1facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹22,000"
212,2 BHK Apartment for Rent in K P H B Phase 1,FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1080 sqftFloor2 out of 4facingSouthoverlookingGarden/ParkBathroom2Balcony1,"₹19,000"
213,2 BHK Apartment for Rent in Upperpally,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1000 sqftFloor3 out of 5facingEastBathroom2Balcony1,"₹15,000"
214,2 BHK House for Rent in Jubilee Hills,FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1000 sqftFloorGround out of 2Bathroom2,"₹16,000"
215,"4 BHK Villa for Rent in Ghatkesar, NH 2 2","FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area192 sqyrdfacingEastoverlookingGarden/Park, Main RoadBathroom3Balcony2","₹15,000"
216,3 BHK Apartment for Rent in Gachibowli,"FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking18 CoveredAvailabilityImmediatelyCarpet Area1460 sqftFloor4 out of 9facingWestoverlookingGarden/Park, PoolBathroom3Balcony3","₹32,000"
217,2 BHK House for Rent in Tolichowki,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area110 sqftFloor1 out of 2Bathroom2Balcony1,"₹9,000"
218,2 BHK Apartment for Rent in Attapur,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1200 sqftFloor8 out of 12overlookingGarden/ParkBathroom2Balcony2,"₹20,000"
219,3 BHK Apartment for Rent in Whitefields,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1500 sqftFloor4 out of 5facingWestBathroom2Balcony2,"₹17,000"
220,2 BHK Apartment for Rent in Begumpet,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1260 sqftFloor1 out of 5Bathroom2Balcony2,"₹25,000"
221,3 BHK Apartment for Rent in Anjaiah Nagar,FurnishingFurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1800 sqftFloor5 out of 5Bathroom3,"₹23,000"
222,2 BHK Apartment for Rent in Kapra,FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1241 sqftFloor4 out of 25facingSouthoverlookingMain RoadBathroom2Balcony1,"₹13,000"
223,3 BHK Apartment for Rent in Huda Colony-Mehdipatnam,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1250 sqftFloor1 out of 5facingEastBathroom2Balcony2,"₹25,000"
224,"2 BHK Apartment for Rent in Himayath Nagar, NH 7",FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area960 sqftFloor4 out of 4facingNorthBathroom2Balcony2,"₹25,000"
225,"3 BHK Apartment for Rent in Hafeezpet, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1465 sqftFloor10 out of 14Bathroom2Balcony1,"₹25,000"
226,"3 BHK Apartment for Rent in Miyapur, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1663 sqftFloor3 out of 5facingWestoverlookingGarden/ParkBathroom3Balcony2,"₹30,000"
227,"4 BHK Apartment for Rent in Narsingi, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 OpenAvailabilityImmediatelyCarpet Area2630 sqftFloor7 out of 18facingWestoverlookingMain RoadBathroom5Balcony2,"₹60,000"
228,"4 BHK Villa for Rent in Manchirevula, Outer Ring Road",FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area3975 sqftfacingEastoverlookingGarden/ParkBathroom6Balcony1,₹1.3 Lac
229,3 BHK Apartment for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1850 sqftFloor2 out of 5Bathroom2,"₹28,000"
230,"2 BHK House for Rent in Raghavendra Colony, NH 9",FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area850 sqftFloor2 out of 2facingWestBathroom2Balcony1,"₹8,000"
231,"2 BHK Apartment for Rent in Beeramguda, Ramachandra Puram, NH 9",FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area815 sqftFloor4 out of 5facingNorth - EastoverlookingMain RoadBathroom2Balcony2,"₹8,000"
232,"1 BHK Apartment for Rent in Indira Nagar-Gachibowli, Outer Ring Road",FurnishingFurnishedTenant PreferredBachelorsCar Parking5 CoveredAvailabilityImmediatelyCarpet Area600 sqftFloor1 out of 5facingEastoverlookingMain RoadBathroom1Balcony1,"₹18,000"
233,"3 BHK House for Rent in Muppas Panchavati Colony, Manikonda, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyOwner ResidesSame PremiseCar Parking1 CoveredAvailabilityFrom Mar '22Carpet Area2200 sqftFloor2 out of 3facingNorth - WestDimensions6.11 X 45 yrd SqyrdBathroom3Balcony3,"₹27,500"
234,"2 BHK Apartment for Rent in Miyapur, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1150 sqftFloor4 out of 5facingEastoverlookingMain RoadBathroom2Balcony1,"₹15,000"
235,"2 BHK Apartment for Rent in Chandanagar, NH 9",FurnishingUnfurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area1000 sqftFloor4 out of 5facingEastoverlookingMain RoadBathroom2Balcony2,"₹14,000"
236,"1 BHK House for Rent in P S Rao Nagar, Dammaiguda","FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 Covered, 1 OpenAvailabilityImmediatelyCarpet Area1400 sqftFloor1 out of 2facingNorth - EastoverlookingMain RoadBathroom2","₹7,000"
237,3 BHK Apartment for Rent in Gachibowli,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelySuper Area2410 sqftFloor4 out of 19facingEastoverlookingGarden/ParkBathroom3Balcony3,"₹45,000"
238,2 BHK House for Rent in Hyderabad,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area135 sqyrdFloor1 out of 1facingEastBathroom3,"₹10,000"
239,"3 BHK Apartment for Rent in Kokapet, Outer Ring Road",FurnishingFurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area2400 sqftFloor4 out of 21facingWestoverlookingGarden/ParkBathroom4Balcony3,"₹43,000"
240,"2 BHK Apartment for Rent in Lingampally-Serilingampally, NH 2 2",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 OpenAvailabilityImmediatelyCarpet Area1100 sqftFloor2 out of 3facingEastoverlookingGarden/ParkBathroom2Balcony2,"₹18,500"
241,1 BHK Apartment for Rent in Bowenpally,FurnishingSemi-FurnishedTenant PreferredBachelorsOwner ResidesSame PremiseAvailabilityFrom Mar '22Carpet Area450 sqftFloor6 out of 6Bathroom1Balcony1,"₹12,000"
242,"2 BHK Apartment for Rent in Green Park Colony, Saroornagar, NH 9",FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area850 sqftFloor2 out of 3facingEastoverlookingMain RoadBathroom2Balcony1,"₹9,500"
243,"2 BHK Apartment for Rent in Narsingi, Outer Ring Road","FurnishingUnfurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area1150 sqftFloor1 out of 5facingEastoverlookingGarden/Park, Main RoadBathroom2Balcony2","₹20,000"
244,"2 BHK Apartment for Rent in Gandhi Nagar, Kavadiguda, NH 7",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking503 CoveredAvailabilityImmediatelySuper Area1400 sqftFloor5 out of 5facingSouthBathroom2Balcony4,"₹20,000"
245,2 BHK House for Rent in Trimulgherry,FurnishingUnfurnishedTenant PreferredFamilyOwner ResidesSame PremiseCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1300 sqftFloorGround out of 3facingEastBathroom2,"₹14,000"
246,2 BHK Apartment for Rent in Chanda Nagar,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area847 sqftFloor5 out of 5Bathroom2Balcony1,"₹13,500"
247,"2 BHK Apartment for Rent in Safilguda, Secunderabad",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area1000 sqftFloor2 out of 5Bathroom2,"₹9,000"
248,2 BHK Apartment for Rent in Tarnaka,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area800 sqftFloor1 out of 3facingNorthBathroom2,"₹12,000"
249,"3 BHK Apartment for Rent in Kukatpally, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1450 sqftFloor10 out of 27facingWestoverlookingPoolBathroom3,"₹45,000"
250,4 BHK Villa for Rent in International Airport,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking2 OpenAvailabilityImmediatelySuper Area1800 sqftfacingEastBathroom2Balcony1,"₹15,000"
251,1 BHK Penthouse for Rent in Trimulgherry,FurnishingUnfurnishedTenant PreferredFamilyAvailabilityImmediatelyCarpet Area900 sqftFloor2 out of 2Bathroom1,"₹8,500"
252,2 BHK Apartment for Rent in Gajularamaram,FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1000 sqftFloor1 out of 4facingEastoverlookingMain RoadBathroom2Balcony1,"₹11,000"
253,3 BHK Apartment for Rent in Gachibowli,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelySuper Area2045 sqftFloor11 out of 14Bathroom3,"₹45,000"
254,"3 BHK Apartment for Rent in Bongloor, Outer Ring Road",FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area900 sqftFloor3 out of 7facingWestBathroom3Balcony1,"₹9,000"
255,3 BHK Apartment for Rent in Silpa Park,"FurnishingSemi-FurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1850 sqftFloorGround out of 8facingEastoverlookingGarden/Park, Pool, Main RoadBathroom3Balcony1","₹30,000"
256,"2 BHK Apartment for Rent in Financial District, Nanakram Guda","FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area850 sqftFloor14 out of 34facingEastoverlookingGarden/Park, Main RoadBathroom2Balcony1","₹30,000"
257,3 BHK Apartment for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1660 sqftFloor3 out of 5facingNorth - WestBathroom3,"₹26,000"
258,1 BHK House for Rent in Chengicherla,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area700 sqftFloor2 out of 3facingNorth - EastoverlookingGarden/ParkBathroom1Balcony1,"₹6,000"
259,"3 BHK House for Rent in Bandlaguda, Nagole",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyOwner ResidesSame PremiseCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1300 sqftFloor2 out of 2facingNorth - WestoverlookingMain RoadBathroom3Balcony1,"₹22,000"
260,"2 BHK Apartment for Rent in Tellapur, Outer Ring Road",FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1500 sqftFloor1 out of 2facingEastBathroom1Balcony2,"₹10,000"
261,"2 BHK Apartment for Rent in Rajendra Nagar, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area928 sqftFloor8 out of 10facingEastoverlookingGarden/ParkBathroom2,"₹18,000"
262,"3 BHK Apartment for Rent in Manikonda, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityFrom Mar '22Super Area2500 sqftFloor9 out of 33facingEastBathroom3,"₹42,000"
263,"3 BHK Apartment for Rent in Sanath Nagar, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelySuper Area1700 sqftFloor5 out of 12facingEastoverlookingGarden/ParkBathroom3Balcony1,"₹35,000"
264,"3 BHK Apartment for Rent in Golden Tulip Estate, Kondapur",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 OpenAvailabilityImmediatelyCarpet Area1600 sqftFloor2 out of 3facingNorthBathroom3Balcony2,"₹35,000"
265,3 BHK Apartment for Rent in Symphony residency,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area1650 sqftFloor3 out of 5facingWestBathroom3Balcony2,"₹16,000"
266,"3 BHK Apartment for Rent in Kundanbagh, Begumpet, NH 9",FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1198 sqftFloorGround out of 4facingEastoverlookingMain RoadBathroom2,"₹19,000"
267,2 BHK Apartment for Rent in Bandlaguda Jagir,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelySuper Area1140 sqftFloor2 out of 5overlookingGarden/ParkBathroom2Balcony2,"₹14,000"
268,"3 BHK Builder Floor for Rent in Kukatpally, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyOwner ResidesSame PremiseCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1850 sqftFloor2 out of 4facingNorthoverlookingGarden/ParkBathroom4Balcony3,"₹28,000"
269,2 BHK Apartment for Rent in Kondapur,FurnishingFurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1000 sqftFloor3 out of 4facingNorth - EastBathroom2Balcony2,"₹19,000"
270,2 BHK Apartment for Rent in East Marredpally,FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area900 sqftFloor2 out of 4facingEastBathroom2Balcony1,"₹17,000"
271,"2 BHK Apartment for Rent in Alkapur Township, Manikonda, Outer Ring Road",FurnishingFurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1200 sqftFloor1 out of 5Bathroom2Balcony2,"₹17,000"
272,3 BHK Apartment for Rent in sai nagar colony,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1100 sqftFloor5 out of 5overlookingMain RoadBathroom2Balcony1,"₹14,000"
273,"3 BHK Apartment for Rent in Rajendra Nagar, Outer Ring Road",FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1045 sqftFloor2 out of 10facingEastoverlookingGarden/ParkBathroom2Balcony1,"₹18,000"
274,"1 BHK Apartment for Rent in Pragathi Nagar, Moosapet",FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area500 sqftFloor1 out of 3facingEastBathroom1,"₹7,500"
275,3 BHK House for Rent in Gachibowli,FurnishingFurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area1545 sqftFloor6 out of 5facingEastoverlookingGarden/ParkDimensions50 X 32 ft SqftBathroom3Balcony1,"₹35,000"
276,"2 BHK Builder Floor for Rent in Deepthisri Nagar, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityFrom Mar '22Carpet Area1100 sqftFloor1 out of 4facingEastoverlookingGarden/ParkBathroom2Balcony2,"₹14,000"
277,"2 BHK House for Rent in Mallapur-Balapur, Balapur",FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 OpenAvailabilityImmediatelyCarpet Area800 sqftFloorGround out of 1facingEastDimensions5.56 X 27 ft SqftBathroom2Balcony2,"₹7,000"
278,"2 BHK Apartment for Rent in Gangaram, Chandanagar, NH 9",FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1100 sqftFloor2 out of 3facingEastoverlookingMain RoadBathroom2Balcony1,"₹12,000"
279,2 BHK House for Rent in Friends Colony,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1800 sqftFloor1 out of 2facingWestoverlookingMain RoadBathroom2Balcony2,"₹22,000"
280,2 BHK House for Rent in Trimulgherry,FurnishingUnfurnishedTenant PreferredFamilyCar Parking2 OpenAvailabilityImmediatelyCarpet Area850 sqftFloorGround out of 2facingEastoverlookingMain RoadBathroom2,"₹10,000"
281,2 BHK Apartment for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1350 sqftFloor2 out of 5facingWestoverlookingMain RoadBathroom2Balcony2,"₹25,000"
282,"3 BHK Villa for Rent in Gayatri Hills, Jubilee Hills",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area3000 sqftoverlookingGarden/ParkBathroom3Balcony1,"₹50,000"
283,3 BHK Apartment for Rent in Jubilee Hills,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area2010 sqftFloor1 out of 5facingEastoverlookingMain RoadBathroom3Balcony2,"₹55,000"
284,2 BHK Apartment for Rent in Bowenpally,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area900 sqftFloor3 out of 3facingEastoverlookingMain RoadBathroom2Balcony1,"₹11,000"
285,2 BHK Apartment for Rent in IAS Colony,FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area850 sqftFloor1 out of 2Bathroom2Balcony1,"₹14,000"
286,3 BHK Apartment for Rent in Madhapur,FurnishingFurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityImmediatelyCarpet Area2100 sqftFloor4 out of 5facingEastoverlookingMain RoadBathroom3Balcony2,"₹45,000"
287,"3 BHK Apartment for Rent in Hyder Nagar, NH 9",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1300 sqftFloor1 out of 5facingEastoverlookingMain RoadBathroom3Balcony2,"₹22,000"
288,3 BHK Apartment for Rent in Appa junction,"FurnishingUnfurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1454 sqftFloor11 out of 19facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹28,500"
289,2 BHK Apartment for Rent in Kondapur,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area950 sqftFloor4 out of 4facingNorth - EastoverlookingMain RoadBathroom2Balcony2,"₹18,000"
290,3 BHK Apartment for Rent in Jubilee Hills,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area2455 sqftFloor1 out of 3facingEastoverlookingMain RoadBathroom3Balcony2,"₹55,000"
291,3 BHK Apartment for Rent in Ayyappa Society,FurnishingFurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1650 sqftFloor2 out of 6overlookingMain RoadBathroom3Balcony3,"₹30,000"
292,2 BHK House for Rent in Kapra,"FurnishingUnfurnishedTenant PreferredBachelors/FamilyCar Parking1 Covered, 1 OpenAvailabilityImmediatelyCarpet Area1200 sqftFloor1 out of 1facingEastBathroom2Balcony1","₹8,200"
293,3 BHK Villa for Rent in Puppalaguda,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area2100 sqftfacingWestoverlookingMain RoadBathroom4Balcony2,"₹32,000"
294,2 BHK Apartment for Rent in Puppalaguda,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1000 sqftFloor2 out of 3facingEastoverlookingMain RoadBathroom2Balcony1,"₹16,000"
295,2 BHK Apartment for Rent in Shaikpet,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area874 sqftFloor1 out of 2facingSouthoverlookingMain RoadBathroom2Balcony1,"₹12,500"
296,2 BHK House for Rent in Fathenagar,FurnishingUnfurnishedTenant PreferredBachelorsCar Parking1 OpenAvailabilityImmediatelyCarpet Area700 sqftFloor1 out of 2facingEastoverlookingMain RoadBathroom2Balcony1,"₹8,500"
297,"2 BHK Apartment for Rent in Pragathi Nagar, Kukatpally",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1000 sqftFloorGround out of 4facingEastoverlookingMain RoadBathroom2Balcony2,"₹12,500"
298,"2 BHK House for Rent in Snehapuri Colony, Secunderabad","FurnishingUnfurnishedTenant PreferredFamilyCar Parking1 Covered, 1 OpenAvailabilityImmediatelyCarpet Area800 sqftFloorGround out of 2facingSouthBathroom1","₹9,000"
299,"3 BHK Apartment for Rent in Kokapet, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor4 out of 5facingWestoverlookingGarden/ParkBathroom3Balcony3,"₹22,000"
300,2 BHK Apartment for Rent in Indira Nagar-Ramanthpur,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area750 sqftFloor1 out of 3facingEastBathroom2Balcony2,"₹11,000"
301,3 BHK Builder Floor for Rent in Moti Nagar,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor3 out of 3facingEastoverlookingMain RoadBathroom2Balcony1,"₹19,500"
302,"4 BHK Apartment for Rent in Chandanagar, NH 9","FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1800 sqftFloor3 out of 5facingSouth - EastoverlookingGarden/Park, Main RoadBathroom2Balcony2","₹20,000"
303,"3 BHK House for Rent in Alkapur Township, Manikonda, Outer Ring Road","FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking4 CoveredAvailabilityImmediatelyCarpet Area1500 sqftFloor1 out of 3facingNorthoverlookingGarden/Park, Main RoadDimensions5.71 X 35 yrd SqyrdBathroom3Balcony1","₹25,000"
304,2 BHK House for Rent in Gayathri Nagar,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area800 sqftFloor1 out of 3overlookingMain RoadBathroom2Balcony1,"₹15,000"
305,"3 BHK Penthouse for Rent in Banjara Hills, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyOwner ResidesSame PremiseCar Parking1 CoveredAvailabilityImmediatelyCarpet Area2000 sqftFloor3 out of 4facingWestoverlookingMain RoadBathroom3Balcony3,"₹50,000"
306,2 BHK Apartment for Rent in Kishan Bagh,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1000 sqftFloor2 out of 4facingEastoverlookingMain RoadBathroom2Balcony1,"₹8,000"
307,"3 BHK Apartment for Rent in Manikonda, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyAvailabilityImmediatelyCarpet Area1660 sqftFloor4 out of 5facingEastBathroom3,"₹23,100"
308,"3 BHK Apartment for Rent in Lingampally-Serilingampally, NH 2 2",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelySuper Area1547 sqftFloor3 out of 7facingNorthoverlookingMain RoadBathroom2Balcony2,"₹23,000"
309,"2 BHK Apartment for Rent in Khaja Guda, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1100 sqftFloor3 out of 4facingNorth - WestoverlookingMain RoadBathroom2Balcony2,"₹15,000"
310,2 BHK Apartment for Rent in Puppalaguda,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1098 sqftFloor4 out of 4facingNorth - EastoverlookingMain RoadBathroom3Balcony3,"₹14,500"
311,2 BHK House for Rent in Gudimalkapur,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1300 sqftFloor1 out of 1facingEastoverlookingMain RoadBathroom2Balcony2,"₹13,000"
312,2 BHK Builder Floor for Rent in Old Alwal,"FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 Covered, 1 OpenAvailabilityImmediatelyCarpet Area1900 sqftFloor2 out of 4facingEastoverlookingMain RoadBathroom2Balcony3","₹23,000"
313,3 BHK Apartment for Rent in Sainikpuri,FurnishingSemi-FurnishedTenant PreferredFamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1300 sqftFloor5 out of 5facingEastBathroom3,"₹17,500"
314,"3 BHK Apartment for Rent in Banjara Hills, NH 9",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking2 CoveredAvailabilityImmediatelyCarpet Area2100 sqftFloor1 out of 3overlookingMain RoadBathroom3Balcony2,"₹70,000"
315,"3 BHK Apartment for Rent in Manikonda, Outer Ring Road","FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1765 sqftFloor1 out of 4facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony2","₹25,000"
316,3 BHK Apartment for Rent in Rail Vihar,"FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1575 sqftFloor6 out of 8facingEastoverlookingGarden/Park, Main RoadBathroom3Balcony1","₹20,000"
317,5 BHK Villa for Rent in Kompally,FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking1 CoveredAvailabilityImmediatelyCarpet Area2600 sqftfacingNorth - EastoverlookingMain RoadBathroom4Balcony1,"₹40,000"
318,"3 BHK Apartment for Rent in Manikonda, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredBachelorsCar Parking1 CoveredAvailabilityImmediatelyCarpet Area1275 sqftFloor3 out of 5facingNorth - WestoverlookingMain RoadBathroom2Balcony2,"₹21,000"
319,3 BHK Apartment for Rent in Jubilee Hills,FurnishingSemi-FurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1700 sqftFloor2 out of 3facingEastoverlookingGarden/ParkBathroom3Balcony2,"₹40,000"
320,"4 BHK Villa for Rent in Kokapet, Outer Ring Road",FurnishingSemi-FurnishedTenant PreferredBachelors/FamilyCar Parking3 OpenAvailabilityImmediatelyCarpet Area4200 sqftfacingNorthoverlookingGarden/ParkBathroom4Balcony2,"₹75,000"
321,2 BHK Apartment for Rent in Bachupally,FurnishingUnfurnishedTenant PreferredBachelorsAvailabilityImmediatelyCarpet Area1050 sqftFloor4 out of 4facingEastoverlookingMain RoadBathroom2Balcony2,"₹15,000"
